,Unnamed: 0,File,Area,Density1,Density2
185,185,./20240321_140300_322/Plate006_Well3_Object7.tif_projection.tif,5150335,719,747
186,186,./20240321_140300_322/Plate003_Well4_Object0.tif_projection.tif,5995001,915,1030
187,187,./20240321_140300_322/Plate005_Well1_Object9.tif_projection.tif,5704504,689,726
188,188,./20240321_140300_322/Plate002_Well4_Object7.tif_projection.tif,3415355,245,262
189,189,./20240321_140300_322/Plate005_Well4_Object5.tif_projection.tif,4222071,446,454
190,190,./20240321_140300_322/Plate003_Well3_Object6.tif_projection.tif,4548638,1066,1159
191,191,./20240321_140300_322/Plate002_Well2_Object6.tif_projection.tif,3372123,221,227
192,192,./20240321_140300_322/Plate005_Well1_Object7.tif_projection.tif,3684111,205,212
193,193,./20240321_140300_322/Plate005_Well2_Object0.tif_projection.tif,5535342,340,354
194,194,./20240321_140300_322/Plate001_Well3_Object5.tif_projection.tif,5320613,895,942
195,195,./20240321_140300_322/Plate005_Well1_Object6.tif_projection.tif,5071732,345,362
196,196,./20240321_140300_322/Plate007_Well3_Object0.tif_projection.tif,4411400,268,279
197,197,./20240321_140300_322/Plate004_Well3_Object6.tif_projection.tif,5807142,1356,1430
198,198,./20240321_140300_322/Plate003_Well2_Object0.tif_projection.tif,5219300,354,377
199,199,./20240321_140300_322/Plate002_Well3_Object5.tif_projection.tif,4950810,302,318
200,200,./20240321_140300_322/Plate005_Well3_Object3.tif_projection.tif,4426510,265,278
201,201,./20240321_140300_322/Plate005_Well3_Object4.tif_projection.tif,4814769,298,321
202,202,./20240321_140300_322/Plate000_Well4_Object3.tif_projection.tif,4794670,1809,1930
203,203,./20240321_140300_322/Plate003_Well1_Object5.tif_projection.tif,7044458,120,130
204,204,./20240321_140300_322/Plate005_Well1_Object5.tif_projection.tif,4549917,255,265
205,205,./20240321_140300_322/Plate002_Well3_Object4.tif_projection.tif,3541399,278,290
206,206,./20240321_140300_322/Plate000_Well4_Object2.tif_projection.tif,5305356,1578,1676
207,207,./20240321_140300_322/Plate000_Well2_Object1.tif_projection.tif,6354888,118,127
208,208,./20240321_140300_322/Plate006_Well4_Object2.tif_projection.tif,4143491,353,378
209,209,./20240321_140300_322/Plate005_Well2_Object5.tif_projection.tif,5444323,255,271
210,210,./20240321_140300_322/Plate007_Well1_Object5.tif_projection.tif,3933962,215,234
211,211,./20240321_140300_322/Plate006_Well3_Object6.tif_projection.tif,4348996,604,634
212,212,./20240321_140300_322/Plate005_Well4_Object1.tif_projection.tif,4455177,382,394
213,213,./20240321_140300_322/Plate000_Well1_Object10.tif_projection.tif,3842789,573,584
214,214,./20240321_140300_322/Plate008_Well2_Object1.tif_projection.tif,3340195,246,261
215,215,./20240321_140300_322/Plate001_Well4_Object2.tif_projection.tif,6130173,1165,1205
216,216,./20240321_140300_322/Plate000_Well1_Object2.tif_projection.tif,4095986,334,342
217,217,./20240321_140300_322/Plate006_Well1_Object2.tif_projection.tif,5509774,1576,1627
218,218,./20240321_140300_322/Plate004_Well1_Object2.tif_projection.tif,3792211,807,840
219,219,./20240321_140300_322/Plate004_Well2_Object7.tif_projection.tif,4360455,1059,1153
220,220,./20240321_140300_322/Plate007_Well3_Object7.tif_projection.tif,3935261,271,285
221,221,./20240321_140300_322/Plate006_Well3_Object1.tif_projection.tif,3888547,599,629
222,222,./20240321_140300_322/Plate006_Well1_Object6.tif_projection.tif,4960203,1678,1738
223,223,./20240321_140300_322/Plate007_Well3_Object2.tif_projection.tif,2698090,101,107
224,224,./20240321_140300_322/Plate001_Well2_Object6.tif_projection.tif,5444860,1228,1320
225,225,./20240321_140300_322/Plate007_Well3_Object6.tif_projection.tif,3680584,274,285
226,226,./20240321_140300_322/Plate007_Well1_Object4.tif_projection.tif,4929280,453,482
227,227,./20240321_140300_322/Plate000_Well1_Object6.tif_projection.tif,3633885,488,508
228,228,./20240321_140300_322/Plate004_Well4_Object0.tif_projection.tif,702817,0,0
229,229,./20240321_140300_322/Plate000_Well3_Object0.tif_projection.tif,5315709,655,679
230,230,./20240321_140300_322/Plate000_Well1_Object5.tif_projection.tif,3616762,274,280
231,231,./20240321_140300_322/Plate007_Well1_Object3.tif_projection.tif,3644269,225,239
232,232,./20240321_140300_322/Plate001_Well1_Object3.tif_projection.tif,3284954,1139,1216
233,233,./20240321_140300_322/Plate003_Well1_Object7.tif_projection.tif,4186975,51,58
234,234,./20240321_140300_322/Plate001_Well4_Object6.tif_projection.tif,3876080,444,455
235,235,./20240321_140300_322/Plate005_Well1_Object1.tif_projection.tif,4999109,472,496
236,236,./20240321_140300_322/Plate008_Well1_Object5.tif_projection.tif,3186589,112,116
237,237,./20240321_140300_322/Plate002_Well3_Object6.tif_projection.tif,3843899,255,264
238,238,./20240321_140300_322/Plate002_Well3_Object7.tif_projection.tif,3400371,127,134
239,239,./20240321_140300_322/Plate002_Well3_Object3.tif_projection.tif,4589891,229,241
240,240,./20240321_140300_322/Plate008_Well1_Object8.tif_projection.tif,3394446,166,170
241,241,./20240321_140300_322/Plate005_Well2_Object1.tif_projection.tif,6435240,366,395
242,242,./20240321_140300_322/Plate002_Well3_Object1.tif_projection.tif,4401278,236,246
243,243,./20240321_140300_322/Plate006_Well2_Object4.tif_projection.tif,3597505,725,751
244,244,./20240321_140300_322/Plate004_Well4_Object6.tif_projection.tif,848022,186,204
245,245,./20240321_140300_322/Plate000_Well2_Object3.tif_projection.tif,4590861,89,93
246,246,./20240321_140300_322/Plate002_Well1_Object4.tif_projection.tif,3424358,311,318
247,247,./20240321_140300_322/Plate004_Well3_Object1.tif_projection.tif,6854720,1139,1174
248,248,./20240321_140300_322/Plate006_Well2_Object6.tif_projection.tif,4282439,895,922
249,249,./20240321_140300_322/Plate003_Well3_Object3.tif_projection.tif,4662932,1106,1206
250,250,./20240321_140300_322/Plate008_Well2_Object10.tif_projection.tif,3052639,139,146
251,251,./20240321_140300_322/Plate006_Well2_Object3.tif_projection.tif,3552575,710,744
252,252,./20240321_140300_322/Plate003_Well4_Object5.tif_projection.tif,3992336,833,924
253,253,./20240321_140300_322/Plate007_Well3_Object4.tif_projection.tif,3373648,163,176
254,254,./20240321_140300_322/Plate007_Well2_Object4.tif_projection.tif,3707709,286,297
255,255,./20240321_140300_322/Plate000_Well2_Object7.tif_projection.tif,4739388,97,105
256,256,./20240321_140300_322/Plate006_Well1_Object5.tif_projection.tif,4659125,1430,1494
257,257,./20240321_140300_322/Plate002_Well1_Object5.tif_projection.tif,4578692,393,413
258,258,./20240321_140300_322/Plate000_Well4_Object0.tif_projection.tif,6924812,1765,1913
259,259,./20240321_140300_322/Plate002_Well3_Object2.tif_projection.tif,5999660,234,238
260,260,./20240321_140300_322/Plate007_Well3_Object1.tif_projection.tif,4560528,214,222
261,261,./20240321_140300_322/Plate007_Well2_Object3.tif_projection.tif,4723119,288,295
262,262,./20240321_140300_322/Plate002_Well4_Object6.tif_projection.tif,3636262,210,217
263,263,./20240321_140300_322/Plate000_Well2_Object2.tif_projection.tif,5190885,172,182
264,264,./20240321_140300_322/Plate003_Well2_Object7.tif_projection.tif,6213626,945,1033
265,265,./20240321_140300_322/Plate000_Well4_Object5.tif_projection.tif,5281152,1990,2130
266,266,./20240321_140300_322/Plate000_Well1_Object9.tif_projection.tif,3777370,475,486
267,267,./20240321_140300_322/Plate000_Well1_Object1.tif_projection.tif,4688313,396,408
268,268,./20240321_140300_322/Plate001_Well2_Object0.tif_projection.tif,5073607,914,967
