,centromere_index,intensity,file,C1_Intensity,C2_Intensity,Label,Treatment,spots
156,25,325.9089,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,110,219,Cen7g11rFISH,Palbo_ON,42
157,26,334.8666,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,1258,103,Cen7g11rFISH,Palbo_ON,42
158,27,333.64258,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,117,1120,Cen7g11rFISH,Palbo_ON,42
159,28,337.96616,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,108,418,Cen7g11rFISH,Palbo_ON,42
160,29,326.478,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,110,108,Cen7g11rFISH,Palbo_ON,42
161,30,322.9632,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,106,180,Cen7g11rFISH,Palbo_ON,42
162,31,315.62048,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,119,655,Cen7g11rFISH,Palbo_ON,42
163,32,313.84784,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,608,128,Cen7g11rFISH,Palbo_ON,42
164,33,307.39404,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,121,611,Cen7g11rFISH,Palbo_ON,42
165,34,300.6208,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,100,488,Cen7g11rFISH,Palbo_ON,42
166,35,259.71805,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,106,109,Cen7g11rFISH,Palbo_ON,42
167,36,280.53235,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,138,16039,Cen7g11rFISH,Palbo_ON,42
168,37,236.42111,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,103,106,Cen7g11rFISH,Palbo_ON,42
169,38,241.5352,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,110,136,Cen7g11rFISH,Palbo_ON,42
170,39,208.40038,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,109,112,Cen7g11rFISH,Palbo_ON,42
171,40,190.81618,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,265,106,Cen7g11rFISH,Palbo_ON,42
172,41,183.35623,Cen7g11rFISH\Palbo_ON\IFISH001_003.tif,106,519,Cen7g11rFISH,Palbo_ON,42
173,0,867.3285,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,108,112,Cen7g11rFISH,Palbo_ON,39
174,1,794.37805,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,107,320,Cen7g11rFISH,Palbo_ON,39
175,2,692.6164,Cen7g11rFISH\Palbo_ON\IFISH001_004.tif,161,644,Cen7g11rFISH,Palbo_ON,39
